,0
0,0.986881867127
1,1.0
2,1.0
3,1.0
4,0.1
5,1.0
6,1.0
7,0.3
8,1.0
9,0.3
10,0.0
11,0.9
12,1.0
13,1.0
14,1.0
15,1.0
16,0.1
17,0.5
18,0.0166666666667
19,1.0
20,1.0
21,0.998389859541
22,0.1
23,0.95
24,0.9
25,0.1
26,1.0
27,1.0
28,1.0
29,1.0
30,0.8
31,0.2
32,0.496474897651
33,1.0
34,0.6
35,0.916666666667
36,1.0
37,0.3
38,0.0
39,0.9
40,0.7
41,1.0
42,1.0
43,0.9
44,0.0
45,0.1
46,0.2
47,0.9
48,1.0
49,0.8
50,0.22
51,1.0
52,0.1
53,0.3
54,1.0
55,0.366666666667
56,0.1
57,1.0
58,0.0
59,1.0
60,1.0
61,0.333333333333
62,1.0
63,1.0
64,1.0
65,0.866666666667
66,0.283333333333
67,1.0
68,0.9
69,1.0
70,1.0
71,0.582023809524
72,1.0
73,0.1
74,0.0
75,1.0
76,1.0
77,0.7
78,1.0
79,0.994707031776
80,1.0
81,0.54
82,1.0
83,0.183244569758
84,1.0
85,0.759047619048
86,0.9
87,0.5
88,0.0
89,0.7
90,0.423333333333
91,1.0
92,1.0
93,0.413324175824
94,0.3
95,0.475
96,0.2
97,0.5
98,1.0
99,1.0
100,0.1
101,1.0
102,0.497426484907
103,0.5
104,0.6
105,1.0
106,0.9
107,0.9
108,0.0125
109,0.2
110,0.1
111,1.0
112,1.0
113,0.9
114,0.0
115,0.7
116,0.95
117,0.0
118,1.0
119,0.55
120,0.6
121,0.9
122,1.0
123,0.2
124,0.6
125,0.8
126,0.9
127,1.0
128,1.0
129,0.55
130,0.286666666667
131,1.0
132,0.2
133,0.1
134,1.0
135,0.6
136,0.7
137,0.9
138,1.0
139,0.2
140,0.643333333333
141,0.9
142,0.1
143,1.0
144,0.9
145,0.9
146,1.0
147,0.4
148,0.3
149,0.366666666667
150,0.4
151,1.0
152,0.0
153,1.0
154,1.0
155,0.9
156,0.904717148895
157,0.3
158,1.0
159,0.3
160,1.0
161,1.0
162,1.0
163,0.36
164,1.0
165,0.6
166,0.438333333333
167,0.4
168,1.0
169,0.525
170,0.3
171,0.9
172,0.95
173,1.0
174,1.0
175,0.5
176,1.0
177,0.9
178,0.569047619048
179,0.9
180,0.266666666667
181,0.9
182,0.9
183,0.1
184,0.6
185,0.0
186,0.5
187,0.0
188,1.0
189,1.0
190,0.75
191,0.6
192,0.9
193,0.9
194,0.6
195,0.5
196,0.2
197,1.0
198,0.25
199,0.1
200,0.4
201,1.0
202,0.9
203,1.0
204,0.0
205,1.0
206,0.9
207,1.0
