,user_id,sample_id,prediction
0,17698,0,1.0
1,10525,1,0.8
2,8716,2,0.3
3,5443,3,0.7
4,7600,4,0.9
5,1178,5,0.2
6,18759,6,0.3
7,9863,7,0.6
8,15455,8,0.3
9,12114,9,0.8
10,4624,10,0.4
11,4148,11,0.8
12,838,12,0.6
13,1102,13,0.6
14,17345,14,0.3
15,13411,15,1.0
16,18224,16,0.6
17,8715,17,0.5
18,2615,18,0.8
19,18236,19,0.5
20,6961,20,0.6
21,7623,21,0.8
22,3451,22,0.4
23,7557,23,0.7
24,4154,24,0.6
25,13751,25,0.2
26,7460,26,0.2
27,2059,27,0.8
28,6194,28,1.0
29,17312,29,0.8
30,7165,30,0.3
31,6113,31,0.9
32,5233,32,1.0
33,16627,33,0.5
34,3830,34,1.0
35,7142,35,0.4
36,6093,36,0.4
37,8018,37,0.8
38,13079,38,0.7
39,14502,39,0.9
40,7710,40,0.8
41,1041,41,1.0
42,885,42,0.9
43,6407,43,0.7
44,14350,44,0.8
45,18253,45,0.3
46,19199,46,0.0
47,8747,47,0.9
48,3477,48,1.0
49,1766,49,0.9
50,5095,50,0.9
51,6352,51,0.9
52,13977,52,0.6
53,1638,53,0.6
54,11600,54,0.7
55,10350,55,0.8
56,4351,56,0.9
57,11023,57,0.1
58,7639,58,0.2
59,9968,59,0.6
60,5684,60,0.5
61,18175,61,0.5
62,16335,62,0.6
63,6024,63,0.4
64,18459,64,0.1
65,18345,65,0.5
66,18749,66,0.2
67,6805,67,0.7
68,7318,68,0.2
69,8283,69,0.9
70,19579,70,0.7
71,18826,71,0.4
72,2274,72,1.0
73,6729,73,1.0
74,4977,74,0.4
75,1690,75,0.5
76,12317,76,0.1
77,2973,77,0.8
78,7168,78,0.7
79,12929,79,0.4
80,16584,80,0.5
81,5813,81,1.0
82,16937,82,0.8
83,11276,83,0.3
84,13808,84,0.8
85,14535,85,0.2
86,11652,86,0.9
87,8000,87,0.4
88,3166,88,0.5
89,3430,89,0.6
90,1314,90,0.5
91,3524,91,0.9
92,8196,92,0.6
93,3688,93,0.5
94,7746,94,0.7
95,15238,95,0.9
96,13009,96,0.2
97,4704,97,0.5
98,7823,98,0.7
99,14187,99,0.3
100,7480,100,0.9
101,14101,101,0.4
102,5583,102,0.8
103,17388,103,0.1
104,16057,104,0.3
105,13077,105,0.3
106,10186,106,0.7
107,15474,107,0.7
108,11872,108,0.4
109,15894,109,0.5
110,10838,110,0.5
111,18207,111,0.3
112,7936,112,0.4
113,12825,113,0.7
114,17762,114,0.1
115,6848,115,0.8
116,14477,116,0.5
117,14583,117,0.4
118,14830,118,0.5
119,16011,119,0.0
120,16304,120,0.3
121,18223,121,0.6
122,17045,122,0.3
123,11283,123,0.5
124,11403,124,0.0
125,6206,125,0.9
126,11747,126,1.0
127,9924,127,0.0
128,18792,128,0.4
129,11461,129,0.7
130,14561,130,0.6
131,11997,131,0.7
132,13670,132,0.5
133,3534,133,0.4
134,19409,134,0.25
135,823,135,0.8
136,19590,136,0.6
137,11755,137,0.8
138,13319,138,0.4
139,10314,139,0.1
140,19802,140,0.833333333333
141,13498,141,0.3
142,17988,142,0.1
143,17898,143,0.5
144,2276,144,0.2
145,9554,145,0.1
146,19428,146,0.5
147,13904,147,0.2
148,14735,148,0.4
149,18053,149,0.8
150,8212,150,0.2
151,13724,151,0.6
152,12984,152,0.7
153,18407,153,0.2
154,13016,154,0.7
155,15919,155,0.6
156,9782,156,0.6
157,4346,157,0.5
158,13322,158,0.6
159,11098,159,0.6
160,3756,160,0.8
161,12818,161,0.2
162,15763,162,0.0
163,13960,163,0.8
164,17126,164,0.1
165,12019,165,0.3
166,11412,166,0.8
167,13140,167,0.3
168,19632,168,0.9
169,4162,169,0.7
170,1753,170,0.7
171,18054,171,0.4
172,17455,172,0.5
173,13279,173,0.4
174,8114,174,0.5
175,13641,175,0.4
176,12428,176,0.7
177,18468,177,0.2
178,3466,178,0.1
179,4665,179,0.2
180,13352,180,0.8
181,8395,181,1.0
182,7366,182,0.9
183,11065,183,0.8
184,15273,184,0.6
185,18241,185,0.4
186,2692,186,0.0
187,5403,187,0.2
188,10396,188,0.2
189,6759,189,0.4
190,6948,190,0.8
191,10075,191,0.5
192,7028,192,0.9
193,13609,193,0.4
194,4378,194,0.8
195,17347,195,1.0
196,14078,196,1.0
197,10577,197,0.8
198,6669,198,0.3
199,3845,199,0.9
200,6817,200,1.0
201,367,201,0.9
202,17664,202,1.0
203,17905,203,0.5
204,8798,204,0.8
205,5496,205,1.0
206,611,206,0.9
207,12057,207,0.3
208,182,208,0.9
209,15621,209,0.6
210,698,210,0.9
211,2366,211,0.3
212,11140,212,0.5
213,17808,213,0.3
214,3882,214,1.0
215,16861,215,0.6
216,12646,216,0.7
217,8270,217,0.9
218,5732,218,0.7
219,5052,219,0.5
220,10574,220,0.3
221,15430,221,0.6
222,846,222,1.0
223,17400,223,0.4
224,11530,224,0.5
225,1811,225,0.9
226,6382,226,0.9
227,11712,227,0.6
228,1785,228,0.6
229,8264,229,0.7
230,8831,230,0.7
231,11032,231,0.8
232,3146,232,0.4
233,17102,233,0.2
234,15884,234,0.7
235,3134,235,0.6
236,3822,236,0.3
237,15969,237,0.1
238,15230,238,0.5
239,3358,239,0.2
240,1598,240,0.1
241,12614,241,0.7
242,11298,242,1.0
243,11213,243,0.6
244,12181,244,0.9
245,5923,245,0.9
246,9210,246,0.1
247,5338,247,0.8
248,8900,248,0.6
249,4765,249,0.5
250,10884,250,0.3
251,16353,251,0.3
252,8179,252,0.8
253,3986,253,1.0
254,13818,254,0.5
255,6853,255,0.8
256,15008,256,0.6
257,8772,257,1.0
258,16473,258,0.1
259,12401,259,0.2
260,4032,260,0.9
261,1271,261,0.6
262,18481,262,0.7
263,5592,263,0.7
264,435,264,0.6
265,13966,265,0.7
266,19768,266,0.5
267,8025,267,0.3
268,17363,268,0.0
269,8357,269,0.3
270,181,270,0.7
271,1632,271,0.8
272,12632,272,0.5
273,7255,273,0.4
274,14055,274,0.9
275,16456,275,0.1
276,13551,276,0.2
277,7219,277,0.3
278,14933,278,0.2
279,16792,279,0.7
280,543,280,0.3
281,13499,281,0.8
282,9989,282,0.7
283,14546,283,0.5
284,5887,284,0.2
285,17565,285,0.8
286,8275,286,0.2
287,16918,287,0.7
288,5356,288,0.9
289,15052,289,0.4
290,4226,290,0.6
291,17038,291,0.2
292,14720,292,0.5
293,16743,293,0.8
294,17724,294,0.9
295,6570,295,1.0
296,18845,296,0.3
297,9826,297,0.2
298,17078,298,0.4
299,2757,299,0.6
300,9880,300,0.6
301,2294,301,0.5
302,6052,302,0.8
303,614,303,0.8
304,3143,304,0.7
305,11475,305,0.6
306,8153,306,0.5
307,14567,307,0.1
308,19393,308,0.5
309,14722,309,0.1
310,2856,310,0.9
311,10782,311,0.8
312,4893,312,0.8
313,11687,313,0.5
314,11471,314,0.8
315,11609,315,0.2
316,8160,316,0.7
317,15254,317,0.9
318,15895,318,0.6
319,6532,319,0.3
320,15816,320,0.2
321,19757,321,0.6
322,12653,322,0.2
323,14591,323,0.2
324,15269,324,0.9
325,18026,325,0.4
326,19714,326,0.1
327,10094,327,0.4
328,8924,328,0.7
329,13483,329,0.2
330,11083,330,0.4
331,17019,331,0.4
332,3517,332,0.4
333,3223,333,0.9
334,16990,334,0.9
335,12416,335,0.8
336,14607,336,0.4
337,16279,337,0.3
338,14629,338,0.9
339,11235,339,0.2
340,11210,340,0.4
341,6242,341,0.8
342,6938,342,0.8
343,16016,343,0.1
344,6998,344,0.9
345,9799,345,0.4
346,3892,346,0.6
347,9046,347,0.4
348,18973,348,0.3
349,3398,349,0.7
350,3153,350,0.9
351,13549,351,1.0
352,3668,352,0.9
353,3180,353,1.0
354,18624,354,0.2
355,12041,355,0.3
356,3880,356,0.5
357,2292,357,1.0
358,6765,358,1.0
359,6872,359,1.0
360,5202,360,0.6
361,3457,361,0.6
362,17175,362,0.4
363,19830,363,0.2
364,14751,364,0.2
365,336,365,0.8
366,16551,366,0.1
367,9402,367,0.9
368,5630,368,0.6
369,15065,369,0.8
370,18800,370,0.4
371,13179,371,0.7
372,17095,372,0.2
373,6972,373,0.6
374,12141,374,0.7
375,11325,375,0.8
376,6583,376,0.5
377,16363,377,0.7
378,10481,378,0.4
379,11697,379,0.9
380,3373,380,0.5
381,9712,381,0.4
382,18541,382,0.2
383,15164,383,0.5
384,9599,384,0.6
385,16433,385,0.7
386,12801,386,0.6
387,4416,387,0.6
388,7464,388,0.6
389,5456,389,0.7
390,13690,390,0.5
391,8219,391,0.8
392,12009,392,0.8
393,7544,393,0.2
394,10228,394,0.5
395,13839,395,0.7
396,17058,396,0.5
397,12535,397,0.4
398,14047,398,0.8
399,14621,399,0.3
400,11951,400,0.5
401,1652,401,0.7
402,11938,402,0.3
403,7798,403,0.7
404,4467,404,0.9
405,3399,405,0.8
406,3308,406,0.3
407,14754,407,0.6
408,12827,408,0.3
409,8128,409,0.5
410,2093,410,0.5
411,14855,411,0.8
412,7813,412,0.2
413,3003,413,0.8
414,16708,414,0.5
415,12911,415,0.4
416,3568,416,0.8
417,5939,417,0.4
418,18775,418,0.9
419,14504,419,0.5
420,10668,420,0.8
421,16395,421,0.4
422,17132,422,0.4
423,19325,423,0.1
424,13776,424,0.8
425,13653,425,0.7
426,14948,426,0.5
427,11928,427,0.4
428,8480,428,0.7
429,7666,429,0.8
430,13829,430,0.5
431,19479,431,0.7
432,1355,432,0.2
433,13913,433,0.4
434,18766,434,0.4
435,17878,435,0.4
436,11410,436,0.4
437,19734,437,0.7
438,2064,438,0.8
439,11726,439,0.2
440,11150,440,0.6
441,4995,441,0.4
442,11920,442,0.5
443,11463,443,0.3
444,17742,444,0.4
445,14474,445,0.3
446,18484,446,0.8
447,10051,447,0.3
448,12045,448,0.2
449,8631,449,0.3
450,16243,450,0.1
451,19456,451,0.6
452,14821,452,0.7
453,10833,453,0.6
454,7087,454,0.5
455,14533,455,0.5
456,12888,456,0.7
457,12976,457,0.5
458,18068,458,0.5
459,14031,459,0.8
460,17773,460,0.5
461,13191,461,0.6
462,11614,462,0.6
463,14781,463,0.2
464,6693,464,0.3
465,16253,465,0.2
466,19843,466,0.8
467,2915,467,0.7
468,7819,468,0.1
469,13060,469,0.6
470,5708,470,0.3
471,3659,471,0.2
472,16161,472,0.7
473,16923,473,0.5
474,11950,474,0.8
475,19657,475,0.5
476,5779,476,1.0
